GIS Join Match Code,Data File Year,State/US-Abbreviation (USPS),Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place/Remainder Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,American Indian/Hawaiian Home Land Trust Land Indicator,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,"Congressional District (2023-2025, 118th Congress) Code",State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,5-Digit ZIP Code Tabulation Area Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Metropolitan/Micropolitan Principal City Indicator,Public Use Microdata Area Code,Census Geographic Area Identifier,Tribal Census Tract Code,Tribal Block Group Code,TIGER/Line Shapefile Geographic Area Identifier,Geographic Area Full Name,Total,Total,Total,Total,Male,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Total,Total,Total,Total,Not Hispanic or Latino,Not Hispanic or Latino: White alone,Not Hispanic or Latino: Black or African American alone,Not Hispanic or Latino: American Indian and Alaska Native alone,Not Hispanic or Latino: Asian alone,Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: Some other race alone,Not Hispanic or Latino: Two or more races,Not Hispanic or Latino: Two or more races: Two races including Some other race,"Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Hispanic or Latino,Hispanic or Latino: White alone,Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some other race alone,Hispanic or Latino: Two or more races,Hispanic or Latino: Two or more races: Two races including Some other race,"Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Total,Total,Total,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Total,Total,Total,Total,Under .50,.50 to .99,1.00 to 1.24,1.25 to 1.49,1.50 to 1.84,1.85 to 1.99,2.00 and over,county_fips
G5100010,2018-2022,VA,,,Virginia,51,Accomack County,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51001,,,51001,"Accomack County, Virginia",33367,33367,24396,32960,16257,799,979,1040,578,205,408,140,396,939,894,656,943,801,1113,1364,553,633,671,728,921,995,264,237,17110,975,647,1190,627,494,191,114,188,884,933,1049,588,924,1075,1338,467,929,580,909,1129,783,530,566,33367,33367,24396,32960,30283,19813,9446,56,268,0,55,645,113,532,3084,1047,38,23,0,0,524,1452,1452,0,33367,33367,24396,32960,381,0,0,30,4,239,10,129,245,148,407,473,822,1082,527,6992,1070,1391,3187,2051,2970,1747,334,157,33367,33367,24396,32960,2431,2809,2201,1813,2433,1348,19925,51001
G5100030,2018-2022,VA,,,Virginia,51,Albemarle County,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51003,,,51003,"Albemarle County, Virginia",112513,112513,76936,104000,54068,2852,3069,3310,1988,3536,810,488,1656,3361,3565,3544,3237,3074,3216,3149,1426,2101,1407,1792,2568,1801,1121,997,58445,2814,2920,3138,1912,3369,911,682,2122,3557,3540,3578,3249,3142,3343,3976,1593,2148,1504,2095,3179,2139,1741,1793,112513,112513,76936,104000,105880,85372,9943,66,6281,34,264,3920,838,3082,6633,3083,23,59,38,0,1525,1905,1695,210,112513,112513,76936,104000,591,0,33,0,0,96,36,157,241,295,350,548,1089,660,654,9804,1475,3256,6955,4434,23136,14590,4208,4328,112513,112513,76936,104000,3386,3992,1978,2267,4390,1713,86274,51003
G5100050,2018-2022,VA,,,Virginia,51,Alleghany County,005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51005,,,51005,"Alleghany County, Virginia",15159,15159,11161,14863,7501,337,400,603,278,139,61,68,320,464,344,360,356,418,525,630,377,172,247,397,338,271,211,185,7658,292,319,361,269,180,128,47,196,396,389,429,287,442,525,625,208,409,261,318,588,425,225,339,15159,15159,11161,14863,14913,13808,783,0,9,0,30,283,14,269,246,192,0,0,0,0,47,7,7,0,15159,15159,11161,14863,47,0,0,19,0,3,20,21,100,52,122,149,214,276,296,4332,513,977,1492,827,967,461,111,162,15159,15159,11161,14863,1209,826,534,612,1105,483,10094,51005
G5100070,2018-2022,VA,,,Virginia,51,Amelia County,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51007,,,51007,"Amelia County, Virginia",13309,13309,9801,13201,6531,400,328,484,122,100,34,15,79,601,342,443,317,454,475,724,123,255,220,189,287,229,64,246,6778,325,283,445,371,235,49,0,238,299,387,312,433,398,469,572,114,418,132,162,366,317,265,188,13309,13309,9801,13201,12854,9746,2675,0,1,0,0,432,110,322,455,182,4,0,0,0,0,269,133,136,13309,13309,9801,13201,102,0,0,0,0,12,0,0,74,14,310,80,160,202,380,3664,779,381,1136,770,1251,416,40,30,13309,13309,9801,13201,461,1008,437,1326,975,124,8870,51007
G5100090,2018-2022,VA,,,Virginia,51,Amherst County,009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51009,,,51009,"Amherst County, Virginia",31426,31426,22321,30574,14973,816,714,1063,539,478,98,272,376,895,871,737,1025,859,974,1172,459,688,418,595,773,605,256,290,16453,836,980,796,483,529,355,349,421,777,846,993,863,950,1077,1268,648,556,424,717,876,693,604,412,31426,31426,22321,30574,30587,23285,5720,238,226,22,339,757,123,634,839,266,6,0,0,0,216,351,322,29,31426,31426,22321,30574,296,0,21,0,0,4,15,12,84,131,389,270,491,585,444,6901,1559,1594,2451,2195,2996,1498,99,286,31426,31426,22321,30574,1678,1774,1477,1897,2356,541,20851,51009
G5100110,2018-2022,VA,,,Virginia,51,Appomattox County,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51011,,,51011,"Appomattox County, Virginia",16253,16253,11491,16156,7910,469,487,492,282,129,257,119,161,413,409,608,421,483,528,466,219,439,300,256,367,336,187,82,8343,536,408,595,280,216,89,28,214,592,482,330,537,536,504,465,185,540,313,348,348,359,231,207,16253,16253,11491,16156,15901,12381,2926,1,51,0,245,297,10,287,352,240,17,0,0,0,95,0,0,0,16253,16253,11491,16156,140,0,0,0,0,52,0,10,10,34,187,52,253,276,145,3768,790,1104,1602,853,1626,546,29,14,16253,16253,11491,16156,1050,1175,643,765,1118,445,10960,51011
G5100130,2018-2022,VA,,,Virginia,51,Arlington County,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51013,,,51013,"Arlington County, Virginia",235845,235845,173124,232818,119030,6478,5974,6135,3261,1718,821,644,6896,14750,12705,10476,9266,8161,7442,6660,2337,3105,2196,2655,2931,2123,1151,1145,116815,6342,5398,5959,3140,1704,634,642,6975,14430,12189,10172,8965,7765,6769,6074,2184,3101,1938,2475,3894,2666,1509,1890,235845,235845,173124,232818,199111,140409,21342,393,24224,166,1469,11108,2003,9105,36734,12841,652,476,84,76,11416,11189,9643,1546,235845,235845,173124,232818,1694,0,13,65,349,530,252,98,934,571,674,637,802,572,922,10675,1961,4174,9654,5657,61741,48347,14799,8003,235845,235845,173124,232818,8680,6847,4511,4035,5772,2392,200581,51013
G5100150,2018-2022,VA,,,Virginia,51,Augusta County,015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51015,,,51015,"Augusta County, Virginia",77433,77433,57106,73764,39547,1744,2056,2202,1451,799,201,564,1622,2417,2676,2415,2469,2428,2743,3123,1138,1655,1328,1433,1919,1232,905,1027,37886,1708,2096,2024,1272,832,411,365,980,2039,2161,2250,2123,2279,2560,2833,1401,1587,1322,1491,2216,1707,1161,1068,77433,77433,57106,73764,74778,68983,3371,113,346,66,301,1598,302,1296,2655,1338,36,68,0,0,625,588,582,6,77433,77433,57106,73764,398,0,36,21,0,10,22,81,260,467,793,590,1420,1063,625,19116,3871,4248,6572,4232,8937,3193,730,421,77433,77433,57106,73764,2517,3464,2542,2768,3914,1998,56561,51015
G5100170,2018-2022,VA,,,Virginia,51,Bath County,017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51017,,,51017,"Bath County, Virginia",4177,4177,3217,4040,2073,108,174,77,0,34,11,21,20,21,161,59,169,58,170,285,78,89,141,56,150,112,38,41,2104,99,64,90,30,15,59,33,125,157,101,87,147,95,101,88,62,79,63,197,95,165,67,85,4177,4177,3217,4040,4146,3893,202,4,14,0,33,0,0,0,31,16,0,0,0,0,15,0,0,0,4177,4177,3217,4040,39,0,0,0,0,0,0,5,3,109,52,50,120,58,13,978,201,313,460,226,408,154,17,11,4177,4177,3217,4040,289,667,284,249,483,48,2020,51017
G5100190,2018-2022,VA,,,Virginia,51,Bedford County,019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51019,,,51019,"Bedford County, Virginia",79761,79761,58099,78985,39452,1697,2768,1894,1465,883,515,711,985,2094,2048,1892,2339,2481,2805,3246,1143,2150,1162,1668,2335,1430,955,786,40309,1841,2167,2236,1554,761,405,374,1406,1951,2016,2087,2125,2553,2901,3494,1065,2028,1234,1939,2201,1912,1083,976,79761,79761,58099,78985,77682,68519,4922,49,967,0,649,2576,496,2080,2079,1045,3,4,43,0,332,652,599,53,79761,79761,58099,78985,641,6,0,0,0,9,17,64,114,347,282,418,1080,657,773,14534,2532,4396,8074,5240,11560,5532,1009,814,79761,79761,58099,78985,2778,4383,2900,2447,4832,2071,59574,51019
