year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,mode,Not Hispanic or Latino: White alone,Not Hispanic or Latino: Black or African American alone,Not Hispanic or Latino: American Indian and Alaska Native alone,Not Hispanic or Latino: Asian alone,Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: Two or more races,Hispanic or Latino,No schooling completed,Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Under .50,.50 to .99,1.00 to 1.24,1.25 to 1.49,1.50 to 1.84,1.85 to 1.99,2.00 and over,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
2008,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,BARACK OBAMA,DEMOCRAT,7607,15623,TOTAL,20430,9620,112,41,0,320,2902,193,8220,1035,918,3070,1423,2324,1268,340,280,3223,3455,2339,1999,2187,534,19275,350,210,185,557,895,845,1013,797,1144,1351,1281,550,508,406,545,732,557,329,275,241,371,76,481,951,905,878,1055,1225,1446,1316,727,638,369,690,806,791,441,412
2008,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,7833,15623,TOTAL,20430,9620,112,41,0,320,2902,193,8220,1035,918,3070,1423,2324,1268,340,280,3223,3455,2339,1999,2187,534,19275,350,210,185,557,895,845,1013,797,1144,1351,1281,550,508,406,545,732,557,329,275,241,371,76,481,951,905,878,1055,1225,1446,1316,727,638,369,690,806,791,441,412
2008,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,OTHER,OTHER,183,15623,TOTAL,20430,9620,112,41,0,320,2902,193,8220,1035,918,3070,1423,2324,1268,340,280,3223,3455,2339,1999,2187,534,19275,350,210,185,557,895,845,1013,797,1144,1351,1281,550,508,406,545,732,557,329,275,241,371,76,481,951,905,878,1055,1225,1446,1316,727,638,369,690,806,791,441,412
2008,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,BARACK OBAMA,DEMOCRAT,29792,50984,TOTAL,77470,9487,215,4240,0,2406,5343,703,10568,1130,3003,6596,3887,17321,9581,3538,3729,4016,4305,3153,3066,4015,1827,73225,2474,1061,686,2050,3067,2897,2816,3030,3275,3449,3153,1143,1538,882,815,1661,1053,934,728,3078,1165,477,1621,3417,2917,2556,3780,3498,3889,3840,1251,1468,1038,1161,1884,1546,1470,1269
2008,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,20576,50984,TOTAL,77470,9487,215,4240,0,2406,5343,703,10568,1130,3003,6596,3887,17321,9581,3538,3729,4016,4305,3153,3066,4015,1827,73225,2474,1061,686,2050,3067,2897,2816,3030,3275,3449,3153,1143,1538,882,815,1661,1053,934,728,3078,1165,477,1621,3417,2917,2556,3780,3498,3889,3840,1251,1468,1038,1161,1884,1546,1470,1269
2008,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,OTHER,OTHER,616,50984,TOTAL,77470,9487,215,4240,0,2406,5343,703,10568,1130,3003,6596,3887,17321,9581,3538,3729,4016,4305,3153,3066,4015,1827,73225,2474,1061,686,2050,3067,2897,2816,3030,3275,3449,3153,1143,1538,882,815,1661,1053,934,728,3078,1165,477,1621,3417,2917,2556,3780,3498,3889,3840,1251,1468,1038,1161,1884,1546,1470,1269
2008,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,BARACK OBAMA,DEMOCRAT,3553,7369,TOTAL,15057,801,6,127,0,141,165,169,3742,603,901,1581,1067,1160,646,65,25,690,981,795,861,1116,334,11203,195,67,132,141,316,351,458,568,547,647,740,232,271,260,292,404,260,148,128,116,82,69,253,335,374,444,605,608,666,678,178,400,216,391,398,282,302,308
2008,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,3715,7369,TOTAL,15057,801,6,127,0,141,165,169,3742,603,901,1581,1067,1160,646,65,25,690,981,795,861,1116,334,11203,195,67,132,141,316,351,458,568,547,647,740,232,271,260,292,404,260,148,128,116,82,69,253,335,374,444,605,608,666,678,178,400,216,391,398,282,302,308
2008,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,OTHER,OTHER,101,7369,TOTAL,15057,801,6,127,0,141,165,169,3742,603,901,1581,1067,1160,646,65,25,690,981,795,861,1116,334,11203,195,67,132,141,316,351,458,568,547,647,740,232,271,260,292,404,260,148,128,116,82,69,253,335,374,444,605,608,666,678,178,400,216,391,398,282,302,308
2008,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2488,6529,TOTAL,9200,3052,117,59,18,144,84,169,3024,409,550,1123,689,946,280,61,0,639,633,1028,515,1110,500,8154,185,24,85,192,375,322,420,437,452,522,424,183,206,229,152,245,202,106,30,187,23,77,178,194,388,569,330,574,507,358,116,450,159,230,245,191,97,187
